fill_id,timestamp,time_total,lumi_total,lumi_logged,inefficiency,hvon_lost,veloin_lost,running_lost,ontape_lost
4402,2015-09-21 21:39:05,2319.826,430882.1112,345774.5733,19.75,0.55,6.23,2.33,11.89
4398,2015-09-21 11:24:18,24193.829,4874420.674,4195339.043,13.93,0.02,0.38,1.95,11.87
4397,2015-09-20 21:21:29,795.766,157841.3792,81168.8041,48.58,5.06,37.09,1.67,12.45
4393,2015-09-20 04:21:17,15575.066,3124265.907,2570915.662,17.71,0.09,0.84,3.38,14.04
4391,2015-09-19 17:42:11,31508.337,5042121.082,4448832.146,11.77,0.14,0.82,0.39,10.56
4386,2015-09-18 19:14:30,4528.318,905724.3239,636862.5682,29.68,0.94,6.96,5.36,19.39
4384,2015-09-18 11:52:07,48747.63,7847261.941,6146555.402,21.67,2.88,2.91,6.64,11.03
4381,2015-09-17 15:06:36,40906.87,6573086.397,5587313.52,15.0,0.02,0.35,3.93,11.19
4376,2015-09-16 14:29:43,593.993,74891.9574,39470.7135,47.3,3.54,36.82,3.16,10.7
4364,2015-09-15 05:08:57,38164.278,4973100.81,4315351.096,13.23,0.04,0.21,4.62,8.79
4363,2015-09-14 14:24:09,26809.232,2828889.745,2500558.75,11.61,0.18,2.89,2.06,6.89
4360,2015-09-13 23:07:49,15917.951,1567238.622,1093461.506,30.23,0.24,1.01,23.67,7.44
4356,2015-09-13 06:45:33,5915.816,694938.501,445690.7872,35.87,0.7,4.9,11.66,23.13
4349,2015-09-12 08:12:19,49433.439,5812366.468,4396357.276,24.36,0.04,0.3,4.2,20.78
4342,2015-09-10 07:22:43,1573.943,184128.7882,121583.0978,33.97,2.88,14.42,0.61,20.06
4341,2015-09-10 02:00:51,7430.271,852124.5118,496744.681,41.71,6.76,8.6,12.75,21.6
4337,2015-09-09 16:06:29,25367.771,1704227.939,1332872.887,21.79,0.03,0.57,2.63,19.19
4332,2015-09-08 19:51:44,31154.948,2147126.865,1701238.75,20.77,0.04,1.18,13.47,7.3
4323,2015-09-07 08:56:56,21826.307,710715.0699,578701.4772,18.57,0.07,0.85,1.03,16.97
4322,2015-09-06 23:51:47,9691.861,64732.6667,50666.1975,21.73,0.45,2.23,6.83,13.68
4269,2015-08-26 05:36:42,47458.721,120461.3747,103380.0441,14.18,0.11,0.37,12.86,1.04
4268,2015-08-25 13:28:26,335.067,705.8003,152.5402,78.39,13.01,72.41,9.91,0.05
4266,2015-08-25 07:57:10,31838.674,34075.2495,29652.9556,12.98,0.11,0.48,12.37,0.1
4263,2015-08-24 14:46:20,882.79,562.628,0.0,100.0,5.26,100.0,0,0
4257,2015-08-23 23:20:36,1146.71,152199.0427,112729.5665,25.93,0.45,16.44,0.88,10.18
4256,2015-08-23 19:16:06,8188.172,1154931.464,1017938.008,11.86,0.02,1.3,0.39,10.33
4254,2015-08-23 06:09:38,2175.016,210107.5352,125476.9949,40.28,2.19,11.28,25.82,7.22
4249,2015-08-22 16:05:16,1202.384,126244.2543,105010.5961,16.82,0.87,5.9,0.29,10.57
4246,2015-08-22 09:23:46,37420.897,3279981.791,3122107.66,4.81,0.0,0.12,3.99,0.74
4243,2015-08-21 11:54:12,16287.042,1735455.759,1520732.104,12.37,0.27,1.31,0.99,10.07
4231,2015-08-19 11:32:14,19231.861,2052745.929,1805453.262,12.05,0.21,1.06,0.68,10.3
4225,2015-08-18 10:26:06,8403.816,779032.5861,679876.1575,12.73,0.55,2.43,0.38,9.72
4224,2015-08-18 01:36:58,179.244,16027.7917,0.0,100.0,26.05,100.0,0,0
4220,2015-08-17 08:30:54,36957.779,2565716.752,2291170.107,10.7,0.14,0.57,0.38,9.72
4219,2015-08-16 18:42:08,172.794,11369.6463,0.0,100.0,24.27,100.0,0,0
4214,2015-08-16 09:21:42,18337.556,839761.7195,699995.4327,16.64,0.25,0.99,6.9,9.34
4212,2015-08-15 22:08:11,3788.314,158335.2347,139094.6263,12.15,0.31,1.71,1.21,9.24
4211,2015-08-15 18:05:56,6918.44,328403.3884,280621.8294,14.55,0.98,3.83,0.7,9.63
4210,2015-08-15 13:08:24,4413.626,196510.8288,168761.253,14.12,0.8,4.18,0.35,9.34
4208,2015-08-15 00:56:50,18790.549,381700.4837,335555.9178,12.09,0.17,0.9,1.66,9.64
4207,2015-08-14 16:25:57,15646.541,334466.7623,286344.7046,14.39,0.86,3.79,0.58,9.72
4205,2015-08-14 06:24:42,35745.907,710524.5482,560388.9643,21.13,0.25,4.2,9.29,9.02
4201,2015-08-13 08:15:38,9575.334,49949.3489,37591.3113,24.74,0.48,2.08,12.13,12.11
4020,2015-07-20 07:25:10,2475.871,139175.2402,0.0,100.0,2.66,100.0,0,0
4019,2015-07-20 04:26:40,1716.057,96931.8633,86990.1782,10.26,0.75,6.17,0.22,3.42
4008,2015-07-16 06:21:02,8997.427,349145.847,339391.737,2.79,0.08,0.46,0.19,2.07
4006,2015-07-15 20:00:46,618.194,32470.9922,20536.1517,36.76,2.64,31.1,2.24,3.55
4001,2015-07-15 04:07:52,67.583,1923.0118,0.0,100.0,49.23,100.0,0,0
3996,2015-07-14 13:14:18,14438.528,916633.801,875231.3592,4.52,0.09,0.71,0.25,3.51
3992,2015-07-13 14:46:33,19069.751,1235581.378,1175346.458,4.88,0.07,0.5,0.71,3.64
3988,2015-07-12 11:14:24,21161.275,857837.0901,813428.1314,5.18,0.05,1.13,1.84,2.25
3986,2015-07-11 22:20:10,752.091,21499.2625,13490.3795,37.25,1.28,34.2,1.79,1.64
3983,2015-07-11 14:05:48,1190.535,29041.9505,23697.4823,18.4,0.73,15.92,0.65,1.59
3981,2015-07-11 02:38:06,26197.851,1038277.789,968602.9086,6.71,0.09,1.69,2.87,2.22
3976,2015-07-09 04:19:52,33673.529,591581.0231,556289.0347,5.97,0.06,0.64,2.09,3.28
3974,2015-07-08 05:36:12,25678.886,440960.7541,415773.1849,5.71,0.01,0.17,3.35,2.27
3971,2015-07-07 06:53:49,9788.223,145232.1434,125013.237,13.92,0.05,1.07,10.98,2.21
3965,2015-07-06 02:29:30,5810.712,62084.294,56366.845,9.21,0.18,5.87,1.37,2.03
3962,2015-07-05 15:27:12,31757.361,184043.1101,180278.9252,2.05,0.16,1.43,0.31,0.15
3960,2015-07-05 03:02:52,10531.91,3470.1732,1891.4083,45.5,3.03,0.0,43.74,0.09
3858,2015-06-14 17:25:42,31914.169,191829.0009,172562.6678,10.04,0.02,0.33,8.96,0.84
3857,2015-06-14 06:00:13,38892.327,225946.3008,161272.7155,28.62,0.04,1.73,24.31,3.99
3855,2015-06-13 12:22:07,50664.426,17320.6124,11891.3535,31.35,0.1,26.29,6.33,0.47
3851,2015-06-11 16:13:14,40396.544,17355.8129,15359.9395,11.5,1.02,1.93,8.79,0.04
3850,2015-06-11 00:48:20,9929.681,7557.4135,7357.4257,2.65,0.26,1.9,0.47,0.04
3848,2015-06-10 15:41:16,9767.125,1046.7078,742.293,29.08,6.49,14.88,10.84,0.07
3847,2015-06-10 07:50:48,8101.57,65.6455,0.0,100.0,0.48,100.0,0,0
3846,2015-06-10 02:05:47,6788.179,23.4482,0.0,100.0,0.62,100.0,0,0
3835,2015-06-08 03:22:44,20981.418,20886.56,19799.9164,5.2,0.02,0.25,4.93,0.02
3833,2015-06-07 15:58:14,21707.568,26506.9237,20773.6201,21.63,0.21,1.87,16.67,3.95
3829,2015-06-06 18:22:04,21553.582,33701.976,27696.5577,17.82,0.89,7.62,10.24,0.0
3824,2015-06-05 05:58:10,23217.136,10000.9659,6147.3636,38.53,7.64,1.12,32.66,0.05
3820,2015-06-04 01:07:07,16503.962,4840.4093,3287.8477,32.08,8.27,11.47,16.31,0.05
3819,2015-06-03 16:50:19,22172.135,7069.2181,3843.0643,45.64,4.99,37.33,8.7,0.0
3590,2015-02-18 11:24:47,6567.855,0.0,0.0,0,0,0,0,0
